-== Watchman Report ==- 

-== Missing 5 service(s) from 178 found in your config:
+--------------------------------+---------+--------------------------------------------------------------+
| Service ID                     | State   | Location                                                     |
| script.lr_ac_heat_toggle_activ | missing | scripts/aircons.yaml:112                                     |
| e_                             |         |                                                              |
| script.lr_ac_cool_toggle_activ | missing | scripts/aircons.yaml:137                                     |
| e_                             |         |                                                              |
| switch.mr_heat_man_            | missing | scripts/aircons.yaml:188                                     |
| switch.mr_cool_man_            | missing | scripts/aircons.yaml:219                                     |
| switch.mr_humidity_set_        | missing | scripts/aircons.yaml:226                                     |
| switch.bed_sensor_sr_heat_man_ | missing | scripts/aircons.yaml:282                                     |
| switch.bed_sensor_sr_cool_man_ | missing | scripts/aircons.yaml:305                                     |
| switch.bed_sensor_sr_humidity_ | missing | scripts/aircons.yaml:312                                     |
| set_                           |         |                                                              |
| calendar.reminders             | missing | scripts/status_annc.yaml:121                                 |
| sensor.home_to_zoo             | missing | scripts/status_annc.yaml:185                                 |
| sensor.home_to_summit          | missing | scripts/status_annc.yaml:191,196                             |
| media_player.MediaPlayerEntity | missing | custom_components/mass/services.yaml:9,40,59,67,75           |
| Feature                        |         |                                                              |
| media_player.vardagsrum        | missing | custom_components/spotcast/services.yaml:22                  |
| group.christmas_lights         | unknown | switches/switches.yaml:63,68,72                              |
| binary_sensor.samba_share_runn | missing | switches/addon.yaml:76                                       |
| ing                            |         |                                                              |
| sensor.XXYour_HameXX_action    | missing | blueprints/automation/homeassistant/xiaomi_cube_controller.y |
|                                |         | aml:74                                                       |
+--------------------------------+---------+--------------------------------------------------------------+

-== Report created on 14 Apr 2024 07:39:19
-== Parsed 274 files in 1.25s., ignored 0 files 
-== Generated in: 0.03s. Validated in: 0.01s.
